TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000746	0.000019	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003495	0.961540	0.048263	0.000178
CCGT_AMMONIA	0.000194	0.000005	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000105	0.630000	0.048263	0.000046
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	33654.763295	384.339983	25.000000	0.000000	38.683636	59.200000	0.000000	0.500085	1.000000	0.116045	1.000000	0.048263	80517.280421
WIND_ONSHORE	10399.999993	120.960000	30.000000	0.000000	10.000000	10.000000	0.000000	0.249687	1.000000	0.224134	1.000000	0.041639	6228.499996
WIND_OFFSHORE	29847.779996	207.666000	30.000000	0.000000	6.000000	6.000000	0.000000	0.244298	1.000000	0.365493	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005930	1.000000	0.462874	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	8357.703750	537.225414	25.000000	0.000000	5.935743	Infinity	0.000000	0.584499	1.000000	0.850000	0.850000	0.048263	6080.099930
IND_COGEN_WOOD	0.000200	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000210	0.850000	0.048263	0.000031
IND_COGEN_WASTE	0.000216	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000124	0.850000	0.048263	0.000048
IND_BOILER_GAS	610.633987	12.234307	17.000000	0.000000	10.369061	Infinity	0.000000	0.193115	1.000000	0.160763	0.950000	0.067080	127.746828
IND_BOILER_WOOD	0.000149	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000354	0.900000	0.067080	0.000037
IND_BOILER_OIL	0.000153	0.000003	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000830	0.950000	0.067080	0.000034
IND_BOILER_COAL	44.041270	0.880820	17.000000	0.000000	0.382369	Infinity	0.000000	0.029357	1.000000	0.662742	0.900000	0.067080	18.422542
IND_BOILER_WASTE	302.319673	6.046358	17.000000	0.000000	2.624758	Infinity	0.000000	0.193029	1.000000	0.634811	0.900000	0.067080	75.776775
IND_DIRECT_ELEC	0.002349	0.000011	15.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.005814	0.950000	0.074944	0.000010
DHN_HP_ELEC	2361.555534	80.078452	25.000000	0.000000	6.849854	Infinity	0.000000	0.854560	1.000000	0.667486	0.950000	0.048263	1197.285914
DHN_COGEN_GAS	1403.092580	41.023436	25.000000	0.000000	1.118457	Infinity	0.000000	0.145440	1.000000	0.695736	0.850000	0.048263	549.027960
DHN_COGEN_WOOD	0.000160	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000140	0.850000	0.048263	0.000024
DHN_COGEN_WASTE	0.000194	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000098	0.850000	0.048263	0.000043
DHN_COGEN_WET_BIOMASS	0.000169	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000499	0.750000	0.048263	0.000126
DHN_COGEN_BIO_HYDROLYSIS	0.000135	0.000007	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000067	0.850000	0.074944	0.000019
DHN_BOILER_GAS	0.000038	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000487	0.950000	0.067080	0.000008
DHN_BOILER_WOOD	0.000054	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000209	0.900000	0.067080	0.000014
DHN_BOILER_OIL	0.000032	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000326	0.950000	0.067080	0.000007
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000116	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000169	1.000000	0.041639	0.000071
DEC_HP_ELEC	8644.385514	360.425302	18.000000	0.000000	17.568461	Infinity	0.000000	0.903183	1.000000	0.449168	1.000000	0.063806	2896.863522
DEC_THHP_GAS	596.731800	17.440885	20.000000	0.000000	1.890306	Infinity	0.000000	0.096817	1.000000	0.447495	1.000000	0.058246	721.964572
DEC_COGEN_GAS	0.000424	0.000027	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001001	1.000000	0.058246	0.000309
DEC_COGEN_OIL	0.000330	0.000020	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000628	1.000000	0.058246	0.000259
DEC_ADVCOGEN_GAS	0.000574	0.000011	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000288	1.000000	0.058246	0.000174
DEC_ADVCOGEN_H2	0.000486	0.000009	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000149	1.000000	0.058246	0.000147
DEC_BOILER_GAS	0.000279	0.000008	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000880	1.000000	0.067080	0.000037
DEC_BOILER_WOOD	0.000258	0.000009	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000293	1.000000	0.067080	0.000012
DEC_BOILER_OIL	0.000204	0.000012	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000636	1.000000	0.067080	0.000030
DEC_SOLAR	0.001769	0.000020	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001200	1.000000	0.058246	0.000544
DEC_DIRECT_ELEC	0.000306	0.000001	15.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.000259	1.000000	0.074944	0.000011
TRAMWAY_TROLLEY	4725.034453	94.500689	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000009	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000028	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000008	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	12438.835611	621.942911	15.000000	0.000000	20.354495	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000043	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000156	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000042	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000173	0.296800	0.074944	0.000000
TRAIN_PUB	0.003366	0.000121	40.000000	0.000000	0.000002	Infinity	0.000000	0.000000	0.500000	0.006147	0.275070	0.033427	0.000000
CAR_GASOLINE	25748.567381	1470.331479	10.000000	50.000000	61.263812	Infinity	0.000000	0.364659	1.000000	0.051370	0.051370	0.108434	0.000000
