Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	0.000021	0.000000
CCGT_AMMONIA	0.000005	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	3085.411343	0.000000
WIND_ONSHORE	207.616667	0.000000
WIND_OFFSHORE	124.570000	0.000000
HYDRO_RIVER	3.630607	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	99.246214	0.000000
IND_COGEN_WOOD	0.000005	0.000000
IND_COGEN_WASTE	0.000006	0.000000
IND_BOILER_GAS	5.350799	0.000000
IND_BOILER_WOOD	0.000007	0.000000
IND_BOILER_OIL	0.000006	0.000000
IND_BOILER_COAL	7.233383	0.000000
IND_BOILER_WASTE	4.172435	0.000000
IND_DIRECT_ELEC	0.017590	0.000000
DHN_HP_ELEC	36.868904	0.000000
DHN_COGEN_GAS	54.929710	0.000000
DHN_COGEN_WOOD	0.000003	0.000000
DHN_COGEN_WASTE	0.000005	0.000000
DHN_COGEN_WET_BIOMASS	0.000014	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000004	0.000000
DHN_BOILER_GAS	0.000001	0.000000
DHN_BOILER_WOOD	0.000002	0.000000
DHN_BOILER_OIL	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000007	0.000000
DEC_HP_ELEC	155.033133	0.000000
DEC_THHP_GAS	48.405374	0.000000
DEC_COGEN_GAS	0.000047	0.000000
DEC_COGEN_OIL	0.000041	0.000000
DEC_ADVCOGEN_GAS	0.000030	0.000000
DEC_ADVCOGEN_H2	0.000019	0.000000
DEC_BOILER_GAS	0.000005	0.000000
DEC_BOILER_WOOD	0.000002	0.000000
DEC_BOILER_OIL	0.000005	0.000000
DEC_SOLAR	0.000083	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
ADLIBIO_TO_HVC	0.000036	0.000000
PHS	0.833002	0.000000
BATT_LI	0.000050	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
ADLIBIO_TO_FUEL	62.002779	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
